信号标准名,信号ID,单位,告警时,正常时,关联ID,逻辑,回差,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
水浸告警,18001001,,有告警,正常,,,,一级告警,,30,,,二级告警,,30,,,二级告警,,30,,,二级告警,,30,,
烟雾告警,18002001,,有告警,正常,,,,一级告警,,30,,,一级告警,,30,,,一级告警,,30,,,一级告警,,30,,
红外告警,18003001,,有告警,正常,,,,一级告警,,30,,,三级告警,,30,,,三级告警,,30,,,三级告警,,30,,
温度,18004001,,过高,正常,18101001,H,,三级告警,30,120,,,一级告警,28,120,,,一级告警,30,120,,,二级告警,32,120,,
温度,18005001,,超高,正常,18101001,H,,一级告警,35,120,,,一级告警,30,120,,,一级告警,36,120,,,一级告警,36,120,,
温度,18006001,,过低,正常,18101001,L,,三级告警,10,60,,,四级告警,15,60,,,四级告警,15,60,,,四级告警,15,60,,
湿度,18007001,,过高,正常,18102001,H,,三级告警,95,60,,,四级告警,70,60,,,四级告警,70,60,,,四级告警,70,60,,
湿度,18008001,,过低,正常,18102001,L,,三级告警,15,60,,,四级告警,20,60,,,四级告警,20,60,,,四级告警,20,60,,
振动告警,18009001,,有告警,正常,,,,一级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
被盗告警,18010001,,有告警,正常,,,,一级告警,,,,,二级告警,,,,,二级告警,,,,,二级告警,,,,
环境温度,18101001,℃,,,,,,,,,3,,,,,3,,,,,3,,,,,3,
环境湿度,18102001,%RH,,,,,,,,,10,,,,,10,,,,,10,,,,,10,
