Type,Command(消息头),Value,ID,Signal,BitLength,ByteLength,ratio,
,,,15001001,工作异常告警,,,,
,,,15003001,交流输入异常告警,,,,
,,,15103001,设备系统时间,,,,
,,,15102001,回风温度,,,,
Get,0000700000,,,,,3,,
,,,L03,运行/停机,1,,,
,,,,,1,,,
,,,L02,模式,2,,,
,,,,,2,,,
,,,L01,风量,2,,,
,,,,,,,,
,,,,,1,,,
,,,L05,风向,1,,,
,,,,,6,,,
,,,15301001,设定温度,8,,,
Set,00006F0000,,,,,,,
,,,L05,风向,1,,,
,,0,,,3,,,
,,0,,,1,,,
,,,L03,开关机状态,1,,,
,,,L01,风量,2,,,
,,,15301001,运行温度设定,4,,-18,
,,0,,,1,,,
,,,L02,模式,3,,,
,,0,,,8,,,
,,0,,,8,,,
,,,,,,,,
,,,,,,,,
Ctrl,00006F0000,,,,,,,
,,,L05,风向,1,,,
,,0,,,3,,,
,,0,,,1,,,
,,1,15201001,远程开机,1,,,
,,,L01,风量,2,,,
,,,15301001,运行温度设定,4,,-18,
,,0,,,1,,,
,,,L02,模式,3,,,
,,0,,,8,,,
,,0,,,8,,,
,,,,,,,,
,,,,,,,,
Ctrl,00006F0000,,,,,,,
,,,L05,风向,1,,,
,,0,,,3,,,
,,0,,,1,,,
,,0,15202001,远程关机,1,,,
,,,L01,风量,2,,,
,,,15301001,运行温度设定,4,,-18,
,,0,,,1,,,
,,,L02,模式,3,,,
,,0,,,8,,,
,,0,,,8,,,
,,,,,,,,
