Type,Command(控制命令+数据),Value,ID,Signal,BitLength,ByteLength,ratio,
Get,03060C0005,,,,,3,,
,,1,25003001,空调故障告警,,2,,
,,,,,,2,,
,,,,,,2,,
,,1,25002001,设备故障告警,,2,,
,,,,,,2,,
,0301000001,,,,,3,,
,,,25004001,空调运行状态,,2,,
,0301000001,,,,,3,,
,,,L01,空调运行状态,,2,,
,0305010003,,,,,3,,
,,,25103001,室外温度,,2,,1
,,,25101001,室内温度,,2,,1
,0307000001,,,,,3,,
,,,25301001,设备运行温度设置,,2,,1
Ctrl,0608010001,0,25201001,远程开机控制,,,,
,0608010000,1,25201001,远程关机控制,,,,
Set,060700,,25301001,设备运行温度设置,,2,,1
SAME,,,L01,远程关机控制,25004001,,,
,,,25202001,时钟同步,,,,
,,,25107001,设备系统时间,,,,
,,,25001001,烟雾,,,,
,,,25102001,室内湿度,,,,
,,,25104001,室外湿度,,,,
,,,25105001,设备累计运行时长,,,,
